,Strain,Type,Rating,Effects
611,Critical-Widow,hybrid,4.3,"Relaxed,Euphoric,Uplifted,Focused,Sleepy"
612,Critters-Cookies,hybrid,3.5,"Uplifted,Tingly,Relaxed,Euphoric,Aroused"
613,Cronuts,hybrid,4.7,None
614,Crosswalker,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Creative"
615,Crouching-Tiger-Hidden-Alien,indica,4.8,"Relaxed,Happy,Euphoric,Tingly,Uplifted"
616,Crown-Og,indica,4.7,"Relaxed,Happy,Sleepy,Uplifted,Euphoric"
617,Crown-Royale,indica,4.7,"Relaxed,Happy,Euphoric,Sleepy,Aroused"
618,Crunch-Berry-Kush,hybrid,4.4,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
619,Crypt,hybrid,4.4,"Relaxed,Euphoric,Focused,Happy,Uplifted"
620,Crystal-Coma,sativa,4.6,"Happy,Uplifted,Euphoric,Focused,Creative"
621,Crystal-Gayle,hybrid,4.4,"Focused,Creative,Euphoric,Happy,Hungry"
622,Crystalberry,indica,4.5,"Aroused,Relaxed,Uplifted,Giggly,Happy"
623,Cuvee,indica,4.5,"Euphoric,Happy,Relaxed,Giggly,Tingly"
624,Dj-Andy-Williams,sativa,5.0,"Creative,Energetic"
625,Dj-Short-Blueberry,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
626,Dj-Smoke,hybrid,4.0,"Euphoric,Relaxed,Aroused,Talkative,Uplifted"
627,Dairy-Queen,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Creative"
628,Dakini-Kush,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Giggly"
629,Damn-Sour,sativa,4.0,"Hungry,Happy,Tingly,Uplifted,Creative"
630,Damnesia,hybrid,4.2,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
631,Dance-World,sativa,4.6,"Happy,Relaxed,Uplifted,Euphoric,Talkative"
632,Dancehall,hybrid,4.6,"Happy,Relaxed,Uplifted,Energetic,Creative"
633,Dank-Schrader,indica,4.9,"Relaxed,Happy,Uplifted,Euphoric,Hungry"
634,Dank-Sinatra,hybrid,5.0,"Happy,Uplifted,Relaxed,Sleepy,Euphoric"
635,Double-D,indica,4.3,"Euphoric,Happy,Uplifted,Aroused,Energetic"
636,Dark-Blue-Dream,hybrid,4.6,"Happy,Euphoric,Relaxed,Uplifted,Giggly"
637,Dark-Side-Of-The-Moon,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
638,Dark-Star,indica,4.4,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
639,Darkside-Og,indica,4.6,"Sleepy,Relaxed,Euphoric,Hungry,Happy"
640,Darth-Vader-Og,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Tingly"
641,Dawgs-Waltz,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Happy,Sleepy"
642,Dawgfather-Og,hybrid,4.1,"Sleepy,Relaxed"
643,Day-Tripper,hybrid,4.0,"Uplifted,Euphoric,Happy,Relaxed,Sleepy"
644,Deadhead-Og,hybrid,4.4,"Uplifted,Relaxed,Happy,Euphoric,Creative"
645,Deadwood,indica,3.9,"Happy,Talkative,Uplifted,Giggly,Relaxed"
646,Death-Bubba,indica,4.7,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
647,Death-Star,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
648,Deathstar-Og,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
649,Deep-Cheese,hybrid,4.3,"Relaxed,Uplifted,Creative,Hungry,Talkative"
650,Deep-Chunk,indica,4.3,"Happy,Relaxed,Sleepy,Uplifted,Creative"
651,Deep-Purple,indica,3.9,"Relaxed,Happy,Euphoric,Sleepy,Tingly"
652,Deep-Sleep,indica,4.5,"Relaxed,Euphoric,Sleepy,Tingly,Happy"
653,Delahaze,sativa,4.5,"Uplifted,Happy,Energetic,Focused,Talkative"
654,Denver-Maple,indica,4.4,"Relaxed,Sleepy,Giggly,Tingly,Uplifted"
655,Desert-Star,hybrid,4.8,"Hungry,Sleepy,Tingly,Uplifted,Creative"
656,Destroyer,sativa,4.9,"Energetic,Uplifted,Euphoric,Giggly,Happy"
657,Devil-Fruit,indica,4.4,"Relaxed,Happy,Euphoric,Focused,Hungry"
658,Devils-Tit,sativa,4.1,"Energetic,Focused,Relaxed,Talkative,Tingly"
659,Diablo,indica,4.1,"Happy,Tingly,Euphoric,Creative,Uplifted"
660,Diamond-Og,indica,4.5,"Relaxed,Sleepy,Happy,Uplifted,Euphoric"
661,Diamond-Socks,hybrid,4.3,"Happy,Relaxed"
662,Diamond-Valley-Kush,hybrid,5.0,"Happy,Relaxed,Sleepy,Creative,Energetic"
663,Diesel-Duff,hybrid,3.8,"Euphoric,Happy,Talkative,Giggly,Uplifted"
664,Dieseltonic,hybrid,4.1,"Relaxed,Sleepy,Giggly,Focused,Uplifted"
665,Digweed,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Giggly"
666,Dinachem,hybrid,4.7,"Talkative,Relaxed,Happy,Energetic,Giggly"
667,Dirty-Girl,sativa,4.5,"Uplifted,Happy,Focused,Euphoric,Energetic"
668,Dirty-Old-Bastard,indica,5.0,None
669,Dirty-Widow,hybrid,4.2,"Uplifted,Energetic,Talkative,Tingly,Euphoric"
670,Disney-Blue,hybrid,4.5,"Happy,Creative,Energetic,Focused,Giggly"
671,Dizzy-Og,hybrid,5.0,"Giggly,Relaxed,Uplifted,Happy,Hungry"
672,Django,sativa,4.6,"Energetic,Uplifted,Happy,Talkative,Euphoric"
673,Do-Over-Og,hybrid,4.7,"Talkative,Uplifted,Creative,Euphoric,Happy"
674,Do-Si-Dos,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
675,Doctor-Doctor,sativa,5.0,"Relaxed,Uplifted,Focused,Happy,Aroused"
676,Dog-Shit,hybrid,4.3,"Creative,Euphoric,Relaxed,Uplifted,Happy"
677,Dogwalker-Og,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
678,Dolla-Sign-Og-Kush,indica,5.0,"Creative,Sleepy,Uplifted,Energetic,Hungry"
679,Domino,indica,4.0,"Sleepy,Happy,Tingly,Uplifted,Euphoric"
680,Don-Shula,hybrid,5.0,"Uplifted,Euphoric,Relaxed,Talkative,Happy"
681,Donegal,hybrid,3.8,"Euphoric,Relaxed,Sleepy,Talkative,Energetic"
682,Donna-Og,hybrid,4.6,"Creative,Euphoric,Relaxed,Happy,Hungry"
683,Doobiebird-Daydream,hybrid,4.6,"Euphoric,Tingly,Happy,Talkative,Relaxed"
684,Doox,sativa,4.4,"Uplifted,Energetic,Happy,Focused,Tingly"
685,Dopium,hybrid,4.5,"Relaxed,Euphoric,Focused,Energetic,Uplifted"
686,Dorit,indica,4.4,"Relaxed,Euphoric,Uplifted,Tingly,Sleepy"
687,Double-Barrel-Og,hybrid,4.2,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted"
688,Double-Diesel,sativa,4.2,"Creative,Happy,Focused,Energetic,Euphoric"
689,Double-Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Focused,Euphoric"
690,Double-Dutch,hybrid,4.3,"Hungry,Uplifted,Talkative,Creative,Energetic"
691,Double-Mint,indica,5.0,"Uplifted,Euphoric,Sleepy,Talkative,Tingly"
692,Double-Og,indica,4.6,"Sleepy,Happy,Euphoric,Relaxed,Focused"
693,Double-Purple-Doja,indica,4.7,"Relaxed,Creative,Sleepy,Happy,Euphoric"
694,Double-Tangie-Banana,hybrid,4.4,"Happy,Uplifted,Relaxed,Energetic,Euphoric"
695,Double-Tap,indica,5.0,"Talkative,Happy,Relaxed"
696,Dougs-Varin,sativa,5.0,"Uplifted,Creative,Energetic,Focused,Talkative"
697,Dr-Bubbles,hybrid,4.0,None
698,Dr-Feelgood,hybrid,4.5,"Happy,Relaxed,Tingly,Euphoric,Sleepy"
699,Dr-Funk,indica,4.6,"Relaxed,Happy,Tingly,Sleepy,Aroused"
700,Dr-Grinspoon,sativa,4.8,"Happy,Energetic,Uplifted,Creative,Talkative"
701,Dr-Quantum,hybrid,0.0,None
702,Dr-Who,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative"
703,Dragon-Og,hybrid,4.4,"Uplifted,Happy,Relaxed,Euphoric,Focused"
704,Dragons-Breath,hybrid,4.6,"Happy,Uplifted,Talkative,Relaxed,Creative"
705,Dreadlock,hybrid,4.0,"Focused,Relaxed,Talkative,Tingly,Uplifted"
706,Dream-Beaver,sativa,4.7,"Happy,Uplifted,Energetic,Talkative,Creative"
707,Dream-Berry,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Giggly"
708,Dream-Lotus,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic"
709,Dream-Police,hybrid,3.7,"Uplifted,Talkative,Energetic,Euphoric,Creative"
710,Dream-Queen,hybrid,4.3,"Happy,Uplifted,Euphoric,Relaxed,Energetic"
711,Dream-Star,hybrid,4.8,"Euphoric,Creative,Uplifted,Talkative,Relaxed"
712,Dreamers-Glass,hybrid,4.4,"Uplifted,Euphoric,Creative,Relaxed,Giggly"
713,Drizella,sativa,4.8,"Uplifted,Energetic,Happy,Euphoric,Giggly"
714,Duke-Nukem,hybrid,4.4,"Creative,Happy,Energetic,Focused,Euphoric"
715,Durban-Berry,hybrid,4.6,"Focused,Relaxed,Happy,Creative,Uplifted"
716,Durban-Cheese,hybrid,4.2,"Hungry,Euphoric,Uplifted,Giggly,Relaxed"
717,Durban-Cookies,sativa,4.5,"Happy,Uplifted,Euphoric,Relaxed,Hungry"
718,Durban-Poison,sativa,4.4,"Energetic,Happy,Uplifted,Euphoric,Focused"
719,Durga-Mata,indica,4.9,"Relaxed,Happy,Giggly,Uplifted,Creative"
720,Dutch-Crunch,hybrid,4.2,"Tingly,Focused,Hungry,Relaxed,Aroused"
721,Dutch-Dragon,sativa,4.5,"Euphoric,Relaxed,Happy,Creative,Focused"
722,Dutch-Hawaiian,sativa,4.3,"Happy,Relaxed,Uplifted,Euphoric,Energetic"
723,Dutch-Haze,sativa,4.0,"Relaxed,Energetic,Creative,Happy,Aroused"
724,Dutch-Kush,indica,3.9,"Hungry,Relaxed,Sleepy,Giggly,Creative"
725,Dutch-Queen,hybrid,4.4,"Happy,Relaxed,Tingly,Talkative,Euphoric"
726,Dutch-Thunder-Fuck,hybrid,4.9,"Uplifted,Euphoric,Talkative,Relaxed,Creative"
727,Dutch-Treat,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused"
728,Dutch-Treat-Haze,hybrid,4.5,"Happy,Uplifted,Relaxed,Euphoric,Energetic"
729,Dutchberry,hybrid,4.5,"Happy,Uplifted,Energetic,Relaxed,Creative"
730,Dynamite,indica,4.4,"Relaxed,Euphoric,Happy,Hungry,Sleepy"
731,Early-Girl,indica,3.8,"Relaxed,Happy,Hungry,Uplifted,Talkative"
732,Early-Miss,hybrid,3.9,"Creative,Euphoric,Relaxed,Aroused,Talkative"
733,Early-Pearl,sativa,3.9,"Relaxed,Hungry,Euphoric,Focused,Talkative"
734,Early-Skunk,hybrid,4.1,"Relaxed,Uplifted,Hungry,Happy,Energetic"
735,Earth-Og,hybrid,4.2,"Relaxed,Sleepy,Hungry,Happy,Creative"
736,Earthquake,hybrid,4.5,"Creative,Euphoric,Uplifted,Happy,Energetic"
737,Earthshaker-Og,hybrid,4.4,"Happy,Euphoric,Aroused,Creative,Energetic"
738,East-Coast-Alien,sativa,4.4,"Happy,Euphoric,Hungry,Relaxed,Focused"
739,East-Coast-Sour-Diesel,sativa,4.3,"Happy,Euphoric,Relaxed,Energetic,Uplifted"
740,Eastern-European,indica,5.0,"Sleepy,Happy,Relaxed"
741,Easy-Bud,hybrid,4.7,"Euphoric,Relaxed,Uplifted,Creative,Happy"
742,Easy-Peezy,hybrid,4.5,"Relaxed,Sleepy,Uplifted,Creative,Euphoric"
743,Ebola-7,hybrid,4.5,"Talkative,Creative,Relaxed,Uplifted,Energetic"
744,Ecto-Cooler,hybrid,4.4,"Happy,Euphoric,Uplifted,Creative,Focused"
745,Ed-Rosenthal-Super-Bud,hybrid,4.3,"Uplifted,Relaxed,Focused,Creative,Euphoric"
746,Edelweiss,indica,4.1,"Happy,Relaxed,Hungry,Sleepy,Creative"
747,El-Chapo-Og,indica,4.7,"Relaxed,Happy,Uplifted,Sleepy,Euphoric"
748,El-Jeffe,indica,4.7,"Euphoric,Relaxed,Happy,Tingly,Uplifted"
749,El-Nino,hybrid,3.8,"Happy,Sleepy,Relaxed,Uplifted,Talkative"
750,El-Perro,hybrid,4.9,"Happy,Relaxed,Uplifted,Euphoric,Sleepy"
751,El-Na,hybrid,5.0,"Aroused,Tingly,Happy,Relaxed"
752,Elderberry-Kush,hybrid,4.1,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
753,Electric-Black-Mamba,indica,5.0,"Relaxed,Uplifted,Creative,Sleepy,Euphoric"
754,Electric-Kool-Aid,hybrid,4.8,"Happy,Uplifted,Talkative,Euphoric,Giggly"
755,Electric-Lemon-G,sativa,4.2,"Euphoric,Happy,Focused,Uplifted,Energetic"
756,Electric-Lemonade,sativa,4.8,"Creative,Happy,Tingly,Uplifted,Energetic"
757,Elephant,sativa,4.0,"Sleepy,Happy,Euphoric,Focused,Aroused"
758,Elmers-Glue,hybrid,4.8,"Hungry,Relaxed,Uplifted,Euphoric,Focused"
759,Elphinstone,sativa,4.5,"Happy,Uplifted,Focused,Talkative,Energetic"
760,Elvis,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Talkative,Sleepy"
761,Emerald-Jack,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Creative"
762,Emerald-Og,indica,4.7,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
763,Emperor-Cookie-Dough,hybrid,4.9,"Uplifted,Relaxed,Euphoric,Giggly,Happy"
764,Endless-Sky,indica,4.5,"Euphoric,Relaxed,Happy,Sleepy,Hungry"
765,Enemy-Of-The-State,indica,4.1,"Euphoric,Aroused,Focused,Tingly,Giggly"
766,Enigma,indica,4.6,"Relaxed,Happy,Sleepy,Giggly,Euphoric"
767,Eran-Almog,indica,4.3,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
768,Erdpurt,indica,0.0,None
769,Erez,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
770,Ether,indica,3.5,"Sleepy,Uplifted,Euphoric,Happy,Hungry"
771,Ethiopian,sativa,3.0,Hungry
772,Euphoria,sativa,4.3,"Euphoric,Happy,Energetic,Creative,Relaxed"
773,Eugene-Cream,hybrid,4.6,"Relaxed,Sleepy,Tingly,Creative,Euphoric"
774,Euphoria-Cookies,hybrid,5.0,"Euphoric,Creative,Uplifted,Happy,Relaxed"
775,Everlast,indica,4.6,"Relaxed,Sleepy,Happy,Tingly,Euphoric"
776,Ewok,hybrid,4.6,"Relaxed,Happy,Euphoric,Creative,Uplifted"
777,Exodus-Cheese,hybrid,4.3,"Uplifted,Relaxed,Euphoric,Happy,Focused"
778,Extreme-Cream,indica,4.8,"Relaxed,Sleepy,Happy,Uplifted,Euphoric"
779,Extreme-Og,indica,4.9,"Relaxed,Sleepy,Hungry,Happy,Aroused"
780,Fn-Louzer,indica,0.0,"Sleepy,Relaxed,Aroused,Tingly,Focused"
781,Face-Off-Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Tingly,Happy"
782,Fallen-Angel,indica,5.0,"Hungry,Relaxed,Sleepy,Uplifted,Euphoric"
783,False-Teeth,hybrid,5.0,"Uplifted,Relaxed,Creative,Happy,Tingly"
784,Fast-Eddy,hybrid,4.2,"Sleepy,Happy,Relaxed,Creative,Euphoric"
785,Fat-Axl,hybrid,4.3,"Talkative,Uplifted,Creative,Happy,Energetic"
786,Fat-Nelson,hybrid,4.6,"Euphoric,Happy,Uplifted,Creative,Energetic"
787,Fat-Purple,indica,4.7,"Aroused,Euphoric,Relaxed,Giggly,Happy"
788,Faygo-Red-Pop,indica,4.8,"Relaxed,Happy,Creative,Euphoric,Giggly"
789,Fighting-Buddha,sativa,5.0,None
790,Fire-Alien-Kush,hybrid,4.5,"Uplifted,Happy,Euphoric,Aroused,Giggly"
791,Fire-Alien-Strawberry,hybrid,4.0,"Talkative,Happy,Hungry,Relaxed,Energetic"
792,Fire-Haze,sativa,4.2,"Euphoric,Focused,Happy,Relaxed,Uplifted"
793,Fire-Og,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
794,Firewalker-Og,sativa,4.3,"Uplifted,Happy,Relaxed,Euphoric,Creative"
795,First-48,hybrid,4.0,"Uplifted,Focused,Hungry,Relaxed"
796,Flaming-Cookies,indica,4.2,"Happy,Relaxed,Euphoric,Tingly,Sleepy"
797,Flo,hybrid,4.2,"Happy,Uplifted,Relaxed,Creative,Focused"
798,Flo-Limone,sativa,4.8,"Euphoric,Relaxed,Uplifted,Happy,Tingly"
799,Flo-Og,indica,4.6,"Happy,Relaxed,Euphoric,Uplifted,Creative"
800,Flo-Walker,hybrid,4.8,"Happy,Relaxed,Creative,Energetic,Euphoric"
801,Flowerbomb-Kush,indica,4.6,"Happy,Relaxed,Creative,Hungry,Euphoric"
802,Flowers-For-Algernon,hybrid,5.0,"Uplifted,Creative,Aroused,Talkative,Energetic"
803,Forbidden-Fruit,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Creative"
804,Fortune-Cookies,hybrid,4.6,"Relaxed,Happy,Focused,Euphoric,Creative"
805,Four-Cups,hybrid,5.0,"Aroused,Talkative,Tingly,Uplifted,Energetic"
806,Four-Star-General,hybrid,4.8,"Euphoric,Hungry,Sleepy,Relaxed,Happy"
807,Four-Way,indica,5.0,"Sleepy,Euphoric,Relaxed,Focused"
808,Franks-Gift,hybrid,3.9,"Relaxed,Happy,Focused,Giggly,Uplifted"
809,Frankenstein,indica,4.4,"Relaxed,Sleepy,Euphoric,Happy,Tingly"
810,Fred-Flipn-Stoned,indica,5.0,"Happy,Relaxed,Sleepy,Tingly,Euphoric"
811,Freezeland,indica,3.6,"Relaxed,Sleepy,Focused,Talkative,Happy"
812,Frida,indica,4.9,"Relaxed,Happy,Creative,Sleepy,Aroused"
813,Frisian-Dew,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Tingly"
814,Frisian-Duck,hybrid,4.4,"Euphoric,Hungry,Relaxed,Sleepy,Happy"
815,Frostbite,sativa,4.3,"Sleepy,Tingly,Happy,Relaxed,Uplifted"
816,Frosted-Freak,hybrid,4.8,"Happy,Relaxed,Focused,Euphoric,Uplifted"
817,Frosty,indica,4.4,"Sleepy,Relaxed,Creative,Hungry,Happy"
818,Frosty-Jesus,hybrid,5.0,None
819,Fruit-Loops,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Focused"
820,Fruit-Punch,sativa,4.6,"Happy,Energetic,Creative,Focused,Uplifted"
821,Fruit-Spirit,hybrid,4.4,"Focused,Happy,Relaxed,Euphoric,Sleepy"
822,Fruity-Chronic-Juice,indica,4.2,"Relaxed,Euphoric,Happy,Uplifted,Creative"
823,Fruity-Pebbles,hybrid,4.4,"Happy,Relaxed,Uplifted,Euphoric,Giggly"
824,Fruity-Widow,hybrid,4.9,"Relaxed,Sleepy,Happy,Hungry,Talkative"
825,Fruitylicious,indica,4.0,"Relaxed,Happy,Euphoric,Uplifted,Aroused"
826,Fucking-Incredible,indica,4.3,"Relaxed,Happy,Euphoric,Hungry,Giggly"
827,Full-Moon,sativa,4.9,"Aroused,Creative,Euphoric,Happy,Uplifted"
828,Funfetti,hybrid,4.8,"Happy,Relaxed,Euphoric,Energetic,Uplifted"
829,Funky-Monkey,indica,4.4,"Relaxed,Tingly,Happy,Giggly,Uplifted"
830,Future,hybrid,4.8,"Relaxed,Euphoric,Uplifted,Sleepy,Happy"
831,G-Force,indica,5.0,None
832,Goat,hybrid,4.4,"Euphoric,Relaxed,Sleepy,Energetic,Happy"
833,G-13,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
834,G13-Diesel,hybrid,4.8,"Euphoric,Happy,Creative,Relaxed,Focused"
835,G13-Haze,hybrid,4.4,"Happy,Relaxed,Euphoric,Creative,Focused"
836,G13-Widow,hybrid,4.8,"Creative,Euphoric,Focused,Tingly,Sleepy"
837,Gg-1,hybrid,4.5,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
838,Gg-4,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
839,Gg-5,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
840,Gi-001,hybrid,5.0,"Creative,Focused,Energetic,Uplifted,Euphoric"
841,Griz-Kush,hybrid,4.5,"Happy,Euphoric,Creative,Uplifted,Energetic"
842,Gsc,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative"
843,Gto,hybrid,4.0,"Energetic,Focused,Uplifted,Creative,Euphoric"
844,Gabriel-Sherbet,hybrid,5.0,"Euphoric,Relaxed,Uplifted,Happy,Focused"
845,Galactic-Jack,sativa,4.6,"Energetic,Uplifted,Focused,Euphoric,Relaxed"
846,Galactica-Og,indica,5.0,"Euphoric,Focused,Relaxed"
847,Game-Changer,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
848,Gandalf-Og,indica,4.9,"Sleepy,Relaxed,Happy,Euphoric,Tingly"
849,Ganesh-Berry,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Focused"
850,Garlic-Bud,indica,4.1,"Relaxed,Happy,Creative,Uplifted,Tingly"
851,Gas-Mask,indica,4.2,"Sleepy,Tingly,Euphoric,Relaxed"
852,Gatekeeper-Og,hybrid,5.0,"Euphoric,Relaxed,Sleepy,Uplifted,Focused"
853,Gelato,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative"
854,Gemstone,hybrid,4.8,"Happy,Relaxed,Focused,Euphoric,Uplifted"
855,Georgia-Pine,hybrid,4.8,"Euphoric,Uplifted,Energetic,Happy,Relaxed"
856,Ghost-Bubba,hybrid,4.6,"Happy,Energetic,Uplifted,Relaxed,Giggly"
857,Ghost-Cookies,hybrid,4.8,"Sleepy,Happy,Relaxed,Uplifted,Giggly"
858,Ghost-Og,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Hungry"
859,Ghost-Og-Moonshine,indica,4.8,"Happy,Uplifted,Euphoric,Hungry,Relaxed"
860,Ghost-Ship,indica,4.0,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
861,Ghost-Train-Haze,sativa,4.6,"Uplifted,Happy,Energetic,Euphoric,Focused"
862,Gigabud,indica,4.4,"Relaxed,Uplifted,Happy,Tingly,Energetic"
863,Ginger-Ale,hybrid,4.9,"Euphoric,Happy,Relaxed,Creative,Giggly"
864,Glad-Max,hybrid,4.3,"Euphoric,Relaxed,Uplifted,Happy,Creative"
865,Glass-Apple,hybrid,4.8,"Uplifted,Energetic,Focused,Euphoric,Happy"
866,Glass-Slipper,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Creative"
867,Glue-Tech,hybrid,4.6,"Happy,Relaxed,Hungry,Uplifted,Euphoric"
868,Go-Time,hybrid,4.3,"Focused,Uplifted,Energetic,Euphoric,Relaxed"
869,Gobbilygoo,indica,4.5,"Hungry,Euphoric,Relaxed,Happy,Sleepy"
870,Gobbstopper,indica,4.5,"Happy,Relaxed,Sleepy,Creative,Euphoric"
871,God-Bud,indica,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
872,Gods-Gift,indica,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
873,Gods-Green-Crack,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
874,Godberry,indica,4.6,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
875,Godfather-Og,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
876,Godfather-Purple-Kush,indica,4.3,"Euphoric,Relaxed,Happy,Sleepy,Tingly"
877,Godzilla,indica,4.3,"Relaxed,Euphoric,Happy,Hungry,Tingly"
878,Godzilla-Blood,hybrid,0.0,None
879,Godzilla-Glue,hybrid,4.7,"Uplifted,Focused,Happy,Relaxed,Euphoric"
880,Gods-Bubba,indica,4.7,"Relaxed,Happy,Sleepy,Tingly,Uplifted"
881,Gods-Treat,indica,4.7,"Uplifted,Euphoric,Happy,Focused,Energetic"
882,Gog-Magog,indica,4.5,"Sleepy,Hungry,Uplifted,Euphoric,Happy"
883,Goji-Diesel,hybrid,4.8,"Euphoric,Focused,Uplifted,Creative,Happy"
884,Goji-Og,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative"
885,Gold-Kings-Thai,sativa,4.5,"Energetic,Happy,Aroused,Uplifted,Creative"
886,Goldberry,indica,4.5,"Euphoric,Tingly,Creative,Happy,Focused"
887,Golden-Calyx,sativa,5.0,"Relaxed,Uplifted,Energetic,Happy,Aroused"
888,Golden-Gage,hybrid,4.4,"Happy,Energetic,Talkative,Giggly,Uplifted"
889,Golden-Goat,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic"
890,Golden-Lemon,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Tingly,Happy"
891,Golden-Nugget,hybrid,4.8,"Uplifted,Creative,Focused,Happy,Aroused"
892,Golden-Panda,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
893,Golden-Pineapple,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative"
894,Golden-Soda,hybrid,0.0,None
895,Golden-State-Banana,indica,4.8,"Euphoric,Relaxed,Sleepy,Creative,Happy"
896,Golden-Tangie,sativa,3.5,"Focused,Happy,Aroused,Energetic,Tingly"
897,Golden-Ticket,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Creative"
898,Golden-Tiger,sativa,5.0,"Talkative,Uplifted,Energetic,Euphoric,Happy"
899,Goldwing,sativa,4.7,"Uplifted,Happy,Euphoric,Creative,Energetic"
900,Goo,indica,4.3,"Relaxed,Sleepy,Hungry,Euphoric,Happy"
901,Gooberry,indica,4.3,"Sleepy,Aroused,Hungry,Relaxed,Happy"
902,Good-Medicine,hybrid,4.3,"Uplifted,Energetic,Happy,Focused,Talkative"
903,Gorilla-Biscuit,indica,4.7,"Relaxed,Euphoric,Creative,Sleepy,Happy"
904,Gorilla-Cookies,hybrid,4.8,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
905,Gorilla-Grips,indica,5.0,"Sleepy,Uplifted,Euphoric,Happy,Relaxed"
906,Gorkle,sativa,5.0,"Relaxed,Happy,Creative,Focused,Aroused"
907,Government-Mule,indica,4.0,"Euphoric,Relaxed"
908,Grand-Doggy-Purps,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Tingly"
909,Grand-Hindu,indica,4.6,"Relaxed,Happy,Euphoric,Focused,Uplifted"
910,Grand-Hustle,hybrid,4.1,"Uplifted,Relaxed,Euphoric,Focused,Giggly"
911,Granddaddy-Purple,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
912,Grandmas-Batch,hybrid,4.8,"Euphoric,Happy,Tingly,Uplifted,Creative"
913,Grandmas-Sugar-Cookies,indica,5.0,"Relaxed,Happy,Energetic,Focused,Creative"
914,Grandpa-Larry-Og,indica,4.4,"Euphoric,Happy,Relaxed,Sleepy,Focused"
915,Grandpas-Breath,indica,4.7,"Relaxed,Euphoric,Sleepy,Uplifted,Creative"
916,Grape-Ape,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
917,Grape-Calyx,hybrid,5.0,"Uplifted,Creative,Euphoric,Happy,Hungry"
